nov 1/17:32:10.384 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.386 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.388 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.390 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.392 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.394 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.396 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.398 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.400 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.402 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.405 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.406 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.409 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.411 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.412 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.415 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.416 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.419 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.421 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.422 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.425 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.426 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.428 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.430 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.432 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.434 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.436 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.438 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.440 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.442 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.444 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.446 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.448 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.450 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.452 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.454 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.456 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.458 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.460 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.462 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.464 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.466 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.468 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.470 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.472 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.474 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.476 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.478 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.480 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.482 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.484 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.486 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.488 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.490 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.492 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.494 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.496 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.497 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.499 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.501 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.503 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.505 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.507 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.509 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.511 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.513 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.515 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.517 DEBUG2 : 		STLinkIsCpuHalted
nov 1/17:32:10.519 DEBUG2 : 		STLinkIsCpuHalted
